rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls,ast,g_a,g_pk,g_a_pk,xg,xag,xg_xag,npxg,npxg_xag,matches
25,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,20-204,2005,2,1,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
26,Michy Batshuayi,be BEL,FW,Eint Frankfurt,31-341,1993,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
27,Oliver Baumann,de GER,GK,Hoffenheim,35-098,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
28,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,26-038,1999,2,1,106,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.1,0.9,1,3,11,0.85,0.00,0.85,0.85,0.85,0.64,0.12,0.76,0.64,0.76,Matches
29,Adrian Beck,de GER,"MF,DF",Heidenheim,28-091,1997,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Maximilian Beier,de GER,MF,Dortmund,22-326,2002,1,1,76,0.8,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,6,0.00,1.18,1.18,0.00,1.18,0.00,0.72,0.72,0.00,0.72,Matches
31,Stefan Bell,de GER,DF,Mainz 05,34-015,1991,2,1,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.39,0.50,0.11,0.50,Matches
32,Jobe Bellingham,eng ENG,MF,Dortmund,19-350,2005,2,2,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Ramy Bensebaini,dz ALG,DF,Dortmund,30-145,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,28,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
34,Bernardo,br BRA,DF,Hoffenheim,30-117,1995,2,2,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,16,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
35,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-263,1993,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,4,0,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.18,0.01,0.18,Matches
36,Ben Bobzien,de GER,FW,Mainz 05,22-132,2003,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
37,Sacha Boey,fr FRA,DF,Bayern Munich,24-360,2000,2,0,42,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.09,0.21,0.12,0.21,Matches
38,Julian Brandt,de GER,"MF,FW",Dortmund,29-129,1996,2,1,135,1.5,1,0,1,1,0,0,0,0,0.3,0.3,0.5,0.9,1,4,13,0.67,0.00,0.67,0.67,0.67,0.23,0.35,0.57,0.23,0.57,Matches
39,Nathaniel Brown,de GER,FW,Eint Frankfurt,22-084,2003,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
40,Marius Bülter,de GER,FW,Köln,32-163,1993,2,2,165,1.8,2,2,4,2,0,0,0,0,0.7,0.7,1.3,2.0,2,7,9,1.09,1.09,2.18,1.09,2.18,0.40,0.71,1.11,0.40,1.11,Matches
41,Wouter Burger,nl NED,MF,Hoffenheim,24-204,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.19,Matches
