rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
132,Castrop Jens,kr KOR,MF,Gladbach,22-041,2003,0.3,13,17,76.5,274,74,3,4,75.0,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
133,Moritz Jenz,de GER,DF,Wolfsburg,26-131,1999,2.0,61,72,84.7,1206,451,22,24,91.7,35,38,92.1,4,10,40.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
134,Ísak Jóhannesson,is ISL,MF,Köln,22-169,2003,1.9,64,76,84.2,1254,338,23,25,92.0,28,31,90.3,12,19,63.2,0,0.0,0.3,0.0,1,9,3,1,8,Matches
135,Lazar Jovanović,rs SRB,"FW,MF",Stuttgart,18-282,2006,0.4,5,10,50.0,66,12,3,5,60.0,2,3,66.7,0,2,0.0,0,0.1,0.3,-0.1,1,0,0,0,1,Matches
136,Anthony Jung,de GER,DF,Freiburg,33-309,1991,0.2,31,35,88.6,512,152,18,19,94.7,10,11,90.9,3,5,60.0,0,0.0,0.1,0.0,1,5,1,0,2,Matches
137,Josip Juranović,hr CRO,DF,Union Berlin,30-023,1995,0.1,1,4,25.0,36,19,0,0,,0,0,,1,4,25.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
138,Martijn Kaars,nl NED,"MF,FW",St. Pauli,26-187,1999,0.2,6,11,54.5,70,17,4,5,80.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0.0,1,0,1,0,2,Matches
139,Anton Kade,de GER,DF,Augsburg,21-234,2004,0.3,5,8,62.5,59,2,5,6,83.3,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
140,Florian Kainz,at AUT,MF,Köln,32-319,1992,0.1,5,7,71.4,114,63,2,2,100.0,2,2,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,1,0,1,Matches
141,Jakub Kamiński,pl POL,"MF,FW",Köln,23-095,2002,2.0,52,68,76.5,685,176,32,40,80.0,11,16,68.8,3,6,50.0,0,0.7,0.4,-0.7,8,4,0,0,5,Matches
142,Harry Kane,eng ENG,FW,Bayern Munich,32-042,1993,1.9,43,55,78.2,764,276,24,26,92.3,16,18,88.9,3,5,60.0,2,1.6,0.7,+0.4,6,5,4,0,7,Matches
143,Atakan Karazor,,MF,Stuttgart,28-330,1996,1.6,88,95,92.6,1365,324,41,44,93.2,45,48,93.8,1,2,50.0,0,0.0,0.1,0.0,0,7,0,0,5,Matches
144,Lennart Karl,de GER,FW,Bayern Munich,17-198,2008,0.2,17,18,94.4,214,26,10,11,90.9,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
145,Mikkel Kaufmann,dk DEN,FW,Heidenheim,24-248,2001,0.8,4,12,33.3,41,18,1,3,33.3,2,3,66.7,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
146,Aljoscha Kemlein,de GER,MF,Union Berlin,21-037,2004,0.1,5,6,83.3,97,41,3,3,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,1,2,0,0,0,Matches
147,Luca Kerber,de GER,MF,Heidenheim,23-182,2002,1.1,12,20,60.0,209,81,7,10,70.0,4,7,57.1,1,1,100.0,0,0.2,0.1,-0.2,1,2,0,0,1,Matches
148,Rani Khedira,de GER,MF,Union Berlin,31-224,1994,2.0,43,55,78.2,737,157,20,23,87.0,18,22,81.8,3,6,50.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches
149,Joshua Kimmich,de GER,MF,Bayern Munich,30-212,1995,2.0,159,176,90.3,2913,1016,76,78,97.4,60,66,90.9,21,26,80.8,0,0.8,1.4,-0.8,5,18,4,1,16,Matches
150,Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,23-241,2002,0.6,12,15,80.0,151,37,9,9,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
151,Gregor Kobel,ch SUI,GK,Dortmund,27-276,1997,2.0,58,72,80.6,1376,835,11,12,91.7,36,36,100.0,10,22,45.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
152,Robin Koch,de GER,DF,Eint Frankfurt,29-053,1996,2.0,82,89,92.1,1698,526,28,29,96.6,37,37,100.0,16,22,72.7,0,0.0,0.0,0.0,0,6,1,0,7,Matches
153,Christian Kofane,cm CMR,"FW,MF",Leverkusen,19-044,2006,0.9,11,12,91.7,103,2,8,9,88.9,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
154,Derrick Köhn,gh GHA,DF,Union Berlin,26-216,1999,0.5,13,17,76.5,200,74,6,6,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
155,Dominik Kohr,de GER,DF,Mainz 05,31-220,1994,2.0,93,108,86.1,1907,595,35,42,83.3,40,44,90.9,16,20,80.0,0,0.2,0.3,-0.2,3,11,1,0,12,Matches
156,Mert Kömür,de GER,"FW,MF",Augsburg,20-053,2005,2.0,40,62,64.5,549,88,24,30,80.0,12,14,85.7,1,13,7.7,1,0.3,0.2,+0.7,3,3,0,0,4,Matches
157,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,23-360,2001,1.7,16,26,61.5,219,20,8,13,61.5,7,9,77.8,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
158,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21-284,2003,2.0,82,103,79.6,1779,797,26,31,83.9,40,44,90.9,16,27,59.3,0,0.0,0.0,0.0,0,11,0,0,8,Matches
159,Alex Král,cz CZE,MF,Union Berlin,27-112,1998,1.0,17,20,85.0,243,66,12,12,100.0,3,3,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,3,Matches
160,Andrej Kramarić,hr CRO,MF,Hoffenheim,34-081,1991,1.6,62,78,79.5,1033,263,33,34,97.1,21,24,87.5,7,14,50.0,0,0.0,0.2,0.0,1,5,2,0,6,Matches
161,Tom Krauß,de GER,"DF,MF",Köln,24-078,2001,1.1,58,60,96.7,1221,274,18,18,100.0,31,32,96.9,9,9,100.0,0,0.0,0.0,0.0,0,4,0,0,4,Matches
162,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,28-059,1997,1.9,94,114,82.5,1557,597,50,53,94.3,26,34,76.5,11,19,57.9,0,0.6,0.2,-0.6,3,1,1,1,7,Matches
163,Lukas Kübler,de GER,DF,Freiburg,33-009,1992,1.9,93,112,83.0,1547,516,48,51,94.1,39,47,83.0,6,11,54.5,0,0.0,0.0,0.0,0,4,1,0,10,Matches
164,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,18-066,2007,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
165,Konrad Laimer,at AUT,DF,Bayern Munich,28-104,1997,1.5,56,67,83.6,746,213,38,39,97.4,17,22,77.3,0,2,0.0,1,0.7,0.5,+0.3,2,9,0,0,6,Matches
166,Hugo Larsson,se SWE,MF,Eint Frankfurt,21-073,2004,1.9,71,88,80.7,1325,497,29,32,90.6,34,38,89.5,8,15,53.3,2,0.1,0.1,+1.9,2,6,1,0,6,Matches
167,Tim Lemperle,de GER,FW,Hoffenheim,23-215,2002,1.8,28,38,73.7,379,111,16,19,84.2,7,9,77.8,2,3,66.7,0,0.5,0.2,-0.5,3,1,2,1,5,Matches
168,Jamie Leweling,de GER,"FW,DF",Stuttgart,24-194,2001,2.0,59,85,69.4,819,183,41,44,93.2,10,18,55.6,6,13,46.2,1,0.7,0.8,+0.3,5,0,6,5,3,Matches
169,Philipp Lienhart,at AUT,DF,Freiburg,29-059,1996,2.0,126,154,81.8,2448,775,35,36,97.2,78,84,92.9,13,29,44.8,0,0.0,0.1,0.0,0,6,1,1,10,Matches
170,Castello Lukeba,fr FRA,DF,RB Leipzig,22-265,2002,2.0,135,150,90.0,2184,788,63,64,98.4,66,74,89.2,4,8,50.0,0,0.0,0.1,0.0,0,6,0,0,12,Matches
171,Kristoffer Lund,us USA,DF,Köln,23-117,2002,1.5,59,80,73.8,1043,516,34,35,97.1,17,27,63.0,8,15,53.3,0,0.1,0.1,-0.1,1,3,2,2,2,Matches
172,Senne Lynen,be BEL,MF,Werder Bremen,26-201,1999,2.0,82,92,89.1,1320,458,41,44,93.2,29,31,93.5,7,10,70.0,0,0.1,0.1,-0.1,1,7,1,0,6,Matches
173,Koki Machida,jp JPN,DF,Hoffenheim,28-014,1997,0.5,32,36,88.9,634,285,13,13,100.0,14,14,100.0,4,8,50.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
174,Shuto Machino,jp JPN,FW,Gladbach,25-343,1999,0.9,17,27,63.0,226,55,11,12,91.7,4,7,57.1,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
175,Arne Maier,de GER,DF,Augsburg,26-243,1999,0.0,5,8,62.5,74,18,3,5,60.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
176,Patrick Mainka,de GER,DF,Heidenheim,30-306,1994,2.0,83,100,83.0,1423,462,29,33,87.9,51,55,92.7,1,7,14.3,0,0.0,0.0,0.0,0,5,0,0,7,Matches
177,Lovro Majer,hr CRO,MF,Wolfsburg,27-234,1998,1.5,36,49,73.5,588,220,16,21,76.2,15,17,88.2,2,3,66.7,1,0.3,0.1,+0.7,6,6,1,0,6,Matches
178,Jordy Makengo,fr FRA,DF,Freiburg,24-036,2001,0.1,8,13,61.5,160,69,3,3,100.0,4,6,66.7,1,4,25.0,0,0.1,0.1,-0.1,1,2,1,1,2,Matches
179,Said El Mala,de GER,"DF,FW",Köln,19-013,2006,0.5,9,12,75.0,87,7,6,6,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
180,Julián Malatini,ar ARG,DF,Werder Bremen,24-100,2001,1.0,23,34,67.6,364,62,12,13,92.3,10,17,58.8,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
181,Lennard Maloney,us USA,MF,Mainz 05,25-335,1999,0.3,7,11,63.6,112,26,4,5,80.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
182,Filippo Mane,it ITA,DF,Dortmund,20-184,2005,0.9,61,67,91.0,1063,376,26,27,96.3,32,33,97.0,3,4,75.0,0,0.0,0.0,0.0,0,5,0,0,4,Matches
183,Johan Manzambi,ch SUI,MF,Freiburg,19-329,2005,1.9,81,96,84.4,1356,381,46,52,88.5,24,25,96.0,10,13,76.9,0,0.7,0.8,-0.7,3,9,2,0,13,Matches
184,Eric Martel,de GER,MF,Köln,23-132,2002,2.0,75,93,80.6,1182,241,36,41,87.8,35,45,77.8,2,2,100.0,0,0.0,0.0,0.0,1,2,0,0,5,Matches
185,Han-Noah Massengo,fr FRA,MF,Augsburg,24-063,2001,2.0,62,74,83.8,896,240,34,37,91.9,27,28,96.4,0,4,0.0,0,0.0,0.0,0.0,0,3,0,0,5,Matches
186,Chrislain Matsima,fr FRA,DF,Augsburg,23-116,2002,2.0,52,71,73.2,760,264,25,32,78.1,22,25,88.0,2,9,22.2,0,0.0,0.0,0.0,0,3,0,0,4,Matches
187,Jean Mattéo Bahoya,fr FRA,FW,Eint Frankfurt,20-124,2005,1.4,38,49,77.6,587,154,21,26,80.8,11,14,78.6,3,4,75.0,1,0.9,1.0,+0.1,3,0,1,1,3,Matches
188,Keke Maximilian Topp,de GER,FW,Werder Bremen,21-167,2004,0.4,14,18,77.8,174,38,7,9,77.8,3,4,75.0,1,1,100.0,1,0.8,0.1,+0.2,1,0,0,0,0,Matches
189,Ibrahim Maza,dz ALG,"MF,FW",Leverkusen,19-288,2005,1.0,18,24,75.0,220,64,10,13,76.9,6,8,75.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,4,Matches
190,Samuel Mbangula,be BEL,FW,Werder Bremen,21-235,2004,1.5,39,52,75.0,490,114,23,26,88.5,11,12,91.7,0,3,0.0,0,0.2,0.1,-0.2,1,2,1,1,3,Matches
191,Jonas Meffert,de GER,MF,Hamburger SV,31-004,1994,0.1,4,7,57.1,36,7,3,4,75.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
192,Connor Metcalfe,au AUS,MF,St. Pauli,25-307,1999,0.3,18,19,94.7,229,64,12,12,100.0,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
193,William Mikelbrencis,fr FRA,"DF,MF",Hamburger SV,21-195,2004,0.2,9,15,60.0,174,82,4,4,100.0,4,6,66.7,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
194,Kim Min-jae,kr KOR,DF,Bayern Munich,28-297,1996,0.3,20,20,100.0,323,92,10,10,100.0,10,10,100.0,0,0,,1,0.3,0.1,+0.7,1,1,0,0,0,Matches
195,Maximilian Mittelstädt,de GER,DF,Stuttgart,28-174,1997,1.8,148,171,86.5,2477,887,74,76,97.4,67,79,84.8,6,12,50.0,0,0.5,0.9,-0.5,6,12,8,5,23,Matches
196,Max Moerstedt,de GER,FW,Hoffenheim,,,0.2,2,3,66.7,16,0,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
197,Miro Muheim,ch SUI,MF,Hamburger SV,27-168,1998,2.0,75,101,74.3,1138,317,38,43,88.4,32,36,88.9,3,18,16.7,0,0.2,0.3,-0.2,4,7,1,1,10,Matches
198,Phillipp Mwene,at AUT,"DF,MF",Mainz 05,31-222,1994,1.8,53,68,77.9,1100,372,18,19,94.7,27,34,79.4,8,14,57.1,0,0.4,0.5,-0.4,5,4,4,4,4,Matches
199,Joakim Mæhle,dk DEN,DF,Wolfsburg,28-111,1997,0.0,1,1,100.0,12,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
200,Nikolas Nartey,dk DEN,DF,Stuttgart,25-198,2000,0.2,8,10,80.0,144,27,3,4,75.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
201,Paul Nebel,de GER,MF,Mainz 05,22-333,2002,0.7,19,25,76.0,318,76,10,13,76.9,5,6,83.3,3,4,75.0,0,0.0,0.4,0.0,1,1,2,2,1,Matches
202,Kosta Nedeljković,rs SRB,DF,RB Leipzig,19-266,2005,0.0,1,1,100.0,11,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
203,Luca Netz,de GER,DF,Gladbach,22-116,2003,0.2,11,15,73.3,169,63,4,7,57.1,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
204,Manuel Neuer,de GER,GK,Bayern Munich,39-165,1986,2.0,73,90,81.1,1962,1299,15,15,100.0,32,33,97.0,26,42,61.9,0,0.0,0.0,0.0,0,3,0,0,0,Matches
205,Florian Neuhaus,de GER,MF,Gladbach,28-176,1997,0.4,31,37,83.8,395,140,21,22,95.5,10,15,66.7,0,0,,0,0.0,0.0,0.0,1,3,1,0,5,Matches
206,Moritz Nicolas,de GER,GK,Gladbach,27-322,1997,2.0,58,67,86.6,1410,952,15,15,100.0,27,27,100.0,16,25,64.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
207,Julian Niehues,de GER,MF,Heidenheim,24-144,2001,0.4,11,13,84.6,213,87,4,5,80.0,6,6,100.0,1,2,50.0,0,0.2,0.2,-0.2,1,1,0,0,2,Matches
208,Justin Njinmah,de GER,FW,Werder Bremen,24-297,2000,1.7,24,34,70.6,342,74,12,16,75.0,9,10,90.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
209,Felix Nmecha,de GER,MF,Dortmund,24-333,2000,0.7,27,30,90.0,429,51,15,16,93.8,11,11,100.0,1,3,33.3,1,0.0,0.2,+1.0,1,2,1,0,2,Matches
210,Arnaud Nordin,fr FRA,FW,Mainz 05,27-083,1998,0.9,22,32,68.8,253,49,12,14,85.7,7,12,58.3,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches
211,Alexander Nübel,de GER,GK,Stuttgart,28-343,1996,2.0,70,81,86.4,1838,1266,9,9,100.0,45,46,97.8,15,25,60.0,0,0.0,0.0,0.0,1,4,0,0,0,Matches
212,Antonio Nusa,no NOR,FW,RB Leipzig,20-144,2005,1.5,39,54,72.2,530,123,23,27,85.2,8,11,72.7,3,7,42.9,0,0.0,0.2,0.0,0,3,1,0,4,Matches
213,Michael Olise,fr FRA,"FW,MF",Bayern Munich,23-270,2001,2.0,92,110,83.6,1305,320,53,58,91.4,32,37,86.5,3,8,37.5,0,0.2,1.0,-0.2,3,10,5,0,10,Matches
214,Warmed Omari,km COM,DF,Hamburger SV,25-138,2000,2.0,87,100,87.0,1707,555,25,28,89.3,50,52,96.2,11,16,68.8,0,0.0,0.0,0.0,0,3,0,0,7,Matches
215,Loïs Openda,be BEL,FW,RB Leipzig,25-204,2000,0.6,13,16,81.3,204,12,5,6,83.3,4,4,100.0,2,3,66.7,0,0.0,0.3,0.0,1,0,2,0,2,Matches
216,Louis Oppie,de GER,DF,St. Pauli,23-114,2002,2.0,74,98,75.5,1014,365,48,54,88.9,21,29,72.4,3,4,75.0,0,0.0,0.1,0.0,1,5,1,1,5,Matches
217,Willi Orban,hu HUN,DF,RB Leipzig,32-309,1992,2.0,88,95,92.6,1594,515,37,38,97.4,44,45,97.8,6,10,60.0,0,0.1,0.0,-0.1,1,5,0,0,4,Matches
218,Assan Ouedraogo,de GER,MF,RB Leipzig,19-122,2006,0.1,5,7,71.4,83,38,2,3,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,Matches
219,Salih Özcan,tr TUR,DF,Dortmund,27-240,1998,0.0,2,2,100.0,40,38,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
220,Cenk Özkacar,tr TUR,MF,Köln,24-337,2000,0.3,27,28,96.4,507,207,10,11,90.9,14,14,100.0,3,3,100.0,0,0.0,0.0,0.0,0,6,0,0,6,Matches
221,Exequiel Palacios,ar ARG,MF,Leverkusen,26-338,1998,0.3,24,25,96.0,389,158,11,11,100.0,11,11,100.0,1,1,100.0,0,0.0,0.1,0.0,0,4,1,0,4,Matches
222,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-128,2004,0.5,46,49,93.9,781,210,27,28,96.4,15,16,93.8,4,4,100.0,0,0.0,0.0,0.0,0,7,1,0,5,Matches
223,Dženan Pejčinović,de GER,FW,Wolfsburg,20-205,2005,1.5,20,29,69.0,256,37,14,17,82.4,5,9,55.6,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
224,Mathias Pereira Lage,pt POR,"FW,MF",St. Pauli,28-282,1996,1.9,29,41,70.7,355,107,15,19,78.9,10,14,71.4,1,2,50.0,1,0.1,0.2,+0.9,3,3,2,1,4,Matches
225,Rayan Philippe,fr FRA,"FW,DF",Hamburger SV,24-320,2000,0.5,7,8,87.5,89,1,5,5,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
226,Ernest Poku,nl NED,"MF,FW",Leverkusen,21-223,2004,0.7,20,29,69.0,352,84,9,10,90.0,9,13,69.2,1,2,50.0,0,0.0,0.1,0.0,0,1,2,0,3,Matches
227,Yussuf Poulsen,dk DEN,FW,Hamburger SV,31-085,1994,0.6,16,24,66.7,225,28,10,11,90.9,3,8,37.5,2,2,100.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches
228,Alexander Prass,at AUT,"FW,DF",Hoffenheim,24-105,2001,0.2,10,12,83.3,137,49,7,7,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches
229,Grischa Prömel,de GER,"MF,DF",Hoffenheim,30-242,1995,0.4,22,29,75.9,331,105,12,14,85.7,7,10,70.0,1,3,33.3,0,0.0,0.0,0.0,0,2,3,1,4,Matches
230,Arkadiusz Pyrka,pl POL,DF,St. Pauli,22-353,2002,1.5,76,85,89.4,1155,426,36,39,92.3,27,30,90.0,6,8,75.0,0,0.2,0.1,-0.2,3,2,4,1,8,Matches
231,Jarell Quansah,eng ENG,DF,Leverkusen,22-222,2003,2.0,143,160,89.4,2550,713,57,62,91.9,74,76,97.4,11,20,55.0,0,0.1,0.1,-0.1,1,11,0,0,7,Matches
232,Leopold Querfeld,at AUT,DF,Union Berlin,21-262,2003,2.0,53,56,94.6,1380,501,7,7,100.0,32,32,100.0,14,17,82.4,0,0.0,0.0,0.0,0,3,0,0,3,Matches
233,Diant Ramaj,de GER,GK,Heidenheim,23-354,2001,2.0,89,118,75.4,2581,1418,5,5,100.0,60,60,100.0,24,51,47.1,0,0.0,0.0,0.0,0,4,0,0,0,Matches
234,Grant Ranos,am ARM,DF,Gladbach,22-050,2003,0.1,4,6,66.7,38,11,4,4,100.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
235,David Raum,de GER,DF,RB Leipzig,27-139,1998,2.0,91,124,73.4,1785,743,33,43,76.7,47,55,85.5,11,23,47.8,1,0.5,0.6,+0.5,6,7,2,0,11,Matches
236,Rocco Reitz,de GER,MF,Gladbach,23-102,2002,1.9,81,101,80.2,1494,470,29,32,90.6,46,52,88.5,6,13,46.2,0,0.1,0.2,-0.1,2,10,4,1,15,Matches
237,Nicolai Remberg,de GER,MF,Hamburger SV,25-081,2000,2.0,61,74,82.4,1026,171,28,31,90.3,27,31,87.1,3,6,50.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
238,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,27-311,1997,0.8,20,27,74.1,288,93,11,13,84.6,8,9,88.9,1,3,33.3,0,0.1,0.0,-0.1,2,1,1,0,3,Matches
239,Lars Ritzka,de GER,DF,St. Pauli,27-124,1998,0.1,9,11,81.8,208,68,2,2,100.0,5,6,83.3,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,1,Matches
240,Merlin Röhl,de GER,"FW,MF",Freiburg,23-065,2002,0.7,25,29,86.2,366,44,16,18,88.9,6,6,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
241,Rômulo,br BRA,FW,RB Leipzig,23-212,2002,1.4,26,35,74.3,379,90,17,22,77.3,5,5,100.0,3,4,75.0,0,0.1,0.1,-0.1,1,1,2,0,5,Matches
242,Tom Rothe,de GER,DF,Union Berlin,20-314,2004,2.0,46,57,80.7,824,270,18,21,85.7,22,25,88.0,4,8,50.0,0,0.0,0.0,0.0,1,5,0,0,5,Matches
243,Julian Ryerson,no NOR,DF,Dortmund,27-295,1997,0.2,21,21,100.0,323,61,11,11,100.0,9,9,100.0,0,0,,0,0.1,0.0,-0.1,1,4,1,0,4,Matches
244,Frederik Rønnow,dk DEN,GK,Union Berlin,33-035,1992,2.0,46,74,62.2,1616,1265,2,2,100.0,21,21,100.0,23,51,45.1,0,0.0,0.0,0.0,0,4,0,0,0,Matches
245,Alexander Røssing-Lelesiit,no NOR,FW,Hamburger SV,18-231,2007,1.4,19,24,79.2,340,77,5,6,83.3,8,8,100.0,3,6,50.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
246,Elias Saad,tn TUN,"FW,MF",Augsburg,25-255,1999,1.5,20,29,69.0,256,63,16,19,84.2,3,4,75.0,1,2,50.0,0,0.1,0.1,-0.1,2,0,0,0,2,Matches
247,Marcel Sabitzer,at AUT,MF,Dortmund,31-175,1994,1.9,69,82,84.1,1054,296,39,41,95.1,26,28,92.9,2,7,28.6,1,0.1,0.2,+0.9,1,9,3,2,12,Matches
248,Emir Sahiti,xk KVX,FW,Hamburger SV,26-283,1998,1.3,23,33,69.7,366,38,8,11,72.7,14,19,73.7,0,0,,0,0.0,0.0,0.0,1,2,1,0,1,Matches
249,Manolis Saliakas,gr GRE,DF,St. Pauli,28-361,1996,0.5,47,69,68.1,955,284,20,23,87.0,20,25,80.0,7,16,43.8,1,0.1,0.1,+0.9,2,6,3,0,7,Matches
250,Philipp Sander,de GER,MF,Gladbach,27-199,1998,1.9,101,112,90.2,1825,466,39,42,92.9,51,58,87.9,9,10,90.0,0,0.0,0.1,0.0,0,13,0,0,8,Matches
251,James Sands,us USA,MF,St. Pauli,25-064,2000,2.0,64,85,75.3,972,291,35,42,83.3,25,32,78.1,3,5,60.0,0,0.0,0.1,0.0,0,6,1,0,6,Matches
252,Kaishu Sano,jp JPN,MF,Mainz 05,24-252,2000,2.0,52,64,81.3,911,302,21,26,80.8,19,21,90.5,7,9,77.8,0,0.0,0.3,0.0,1,7,2,0,10,Matches
253,Joe Scally,us USA,DF,Gladbach,22-251,2002,1.9,96,111,86.5,1672,441,37,39,94.9,54,58,93.1,4,10,40.0,0,0.2,0.4,-0.2,2,8,2,1,10,Matches
254,András Schäfer,hu HUN,MF,Union Berlin,26-148,1999,1.0,9,19,47.4,107,19,7,7,100.0,2,8,25.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
255,Derry Scherhant,de GER,MF,Freiburg,22-302,2002,0.1,1,2,50.0,10,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
256,Patrik Schick,cz CZE,FW,Leverkusen,29-227,1996,2.0,25,29,86.2,362,33,14,14,100.0,9,12,75.0,1,1,100.0,0,0.0,0.5,0.0,0,0,0,0,1,Matches
257,Xaver Schlager,at AUT,MF,RB Leipzig,27-345,1997,1.8,85,91,93.4,1280,374,52,56,92.9,29,30,96.7,4,5,80.0,0,0.3,0.5,-0.3,4,9,6,1,14,Matches
258,Keven Schlotterbeck,de GER,DF,Augsburg,28-133,1997,2.0,69,87,79.3,1301,519,25,31,80.6,38,42,90.5,5,11,45.5,0,0.0,0.0,0.0,0,5,0,0,3,Matches
259,Romano Schmid,at AUT,MF,Werder Bremen,25-224,2000,2.0,69,100,69.0,1113,433,39,47,83.0,19,29,65.5,7,13,53.8,0,0.2,1.0,-0.2,2,9,11,2,21,Matches
260,Isaac Schmidt,ch SUI,MF,Werder Bremen,25-275,1999,0.2,8,9,88.9,128,10,6,7,85.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
261,Joël Schmied,ch SUI,DF,Köln,26-350,1998,1.5,33,40,82.5,550,121,16,17,94.1,16,18,88.9,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
262,Jan Schöppner,de GER,MF,Heidenheim,26-088,1999,1.0,18,26,69.2,317,45,7,9,77.8,10,13,76.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
263,Marvin Schwäbe,de GER,GK,Köln,30-136,1995,2.0,51,88,58.0,1651,1242,5,5,100.0,26,26,100.0,20,56,35.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
264,Léo Scienza,br BRA,"MF,FW",Heidenheim,26-360,1998,2.0,32,52,61.5,592,142,10,14,71.4,17,22,77.3,3,12,25.0,0,1.1,0.4,-1.1,3,1,4,1,3,Matches
265,Sebastian Sebulonsen,no NOR,DF,Köln,25-224,2000,1.8,35,46,76.1,506,150,21,25,84.0,8,11,72.7,3,7,42.9,0,0.1,0.1,-0.1,1,2,1,0,1,Matches
266,Nicolas Seiwald,at AUT,MF,RB Leipzig,24-127,2001,1.2,44,50,88.0,665,192,26,26,100.0,14,19,73.7,3,4,75.0,0,0.0,0.2,0.0,1,4,1,0,3,Matches
267,Armindo Sieb,de GER,"FW,MF",Mainz 05,22-203,2003,0.3,7,9,77.8,53,24,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,1,1,1,0,Matches
