rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
31,Stefan Bell,de GER,DF,Mainz 05,34-015,1991,0.8,26,41,63.4,456,137,11,13,84.6,12,17,70.6,3,8,37.5,0,0.3,0.3,-0.3,2,1,0,0,2,Matches
32,Jobe Bellingham,eng ENG,MF,Dortmund,19-350,2005,1.3,63,73,86.3,1113,220,28,35,80.0,29,30,96.7,6,8,75.0,0,0.0,0.0,0.0,0,6,1,0,7,Matches
33,Ramy Bensebaini,dz ALG,DF,Dortmund,30-145,1995,2.0,185,203,91.1,3453,1094,63,63,100.0,108,115,93.9,14,23,60.9,0,0.1,0.3,-0.1,1,13,4,0,28,Matches
34,Bernardo,br BRA,DF,Hoffenheim,30-117,1995,1.9,101,126,80.2,1558,551,46,52,88.5,45,50,90.0,5,14,35.7,0,0.0,0.0,0.0,1,12,2,0,16,Matches
35,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-263,1993,1.1,43,53,81.1,762,190,18,21,85.7,23,25,92.0,2,5,40.0,0,0.2,0.4,-0.2,1,5,0,0,4,Matches
36,Ben Bobzien,de GER,FW,Mainz 05,22-132,2003,0.1,9,11,81.8,126,15,6,7,85.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
37,Sacha Boey,fr FRA,DF,Bayern Munich,24-360,2000,0.5,28,31,90.3,302,79,20,22,90.9,6,7,85.7,0,0,,0,0.0,0.0,0.0,1,5,0,0,2,Matches
38,Julian Brandt,de GER,"MF,FW",Dortmund,29-129,1996,1.5,68,80,85.0,1030,212,41,46,89.1,21,24,87.5,6,7,85.7,0,0.5,0.8,-0.5,2,4,2,1,4,Matches
39,Nathaniel Brown,de GER,FW,Eint Frankfurt,22-084,2003,0.4,4,9,44.4,106,54,2,2,100.0,0,2,0.0,2,4,50.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches
40,Marius Bülter,de GER,FW,Köln,32-163,1993,1.8,37,45,82.2,643,292,20,20,100.0,10,13,76.9,6,8,75.0,2,1.3,0.9,+0.7,5,5,7,3,7,Matches
41,Wouter Burger,nl NED,MF,Hoffenheim,24-204,2001,0.5,24,30,80.0,386,80,13,13,100.0,7,10,70.0,2,4,50.0,0,0.1,0.0,-0.1,2,3,0,0,3,Matches
42,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-059,2000,0.7,7,10,70.0,109,24,4,5,80.0,2,2,100.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,0,1,Matches
43,Oliver Burke,sct SCO,FW,Union Berlin,28-154,1997,0.4,8,9,88.9,87,8,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
44,Marnon Busch,de GER,DF,Heidenheim,30-274,1994,2.0,57,78,73.1,1158,305,19,22,86.4,30,39,76.9,7,14,50.0,0,0.0,0.0,0.0,0,4,0,0,5,Matches
45,Aurélio Buta,pt POR,"DF,FW",Eint Frankfurt,28-210,1997,0.1,3,6,50.0,29,2,3,3,100.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
46,Anthony Caci,fr FRA,"MF,DF",Mainz 05,28-069,1997,1.7,89,119,74.8,1403,614,45,51,88.2,26,36,72.2,10,21,47.6,0,0.2,0.4,-0.2,2,17,8,4,13,Matches
47,Nicolás Capaldo,ar ARG,MF,Hamburger SV,27-359,1997,1.8,30,40,75.0,354,128,17,21,81.0,8,12,66.7,0,1,0.0,0,0.1,0.5,-0.1,1,3,1,0,6,Matches
48,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-246,2004,0.3,3,4,75.0,36,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Václav Černý,cz CZE,FW,Wolfsburg,27-326,1997,0.5,6,10,60.0,124,32,2,3,66.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
50,Julian Chabot,de GER,DF,Stuttgart,27-208,1998,0.9,83,90,92.2,1507,601,32,36,88.9,46,47,97.9,5,7,71.4,0,0.0,0.1,0.0,0,4,0,0,7,Matches
51,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,22-284,2002,2.0,66,95,69.5,1219,463,26,35,74.3,27,35,77.1,9,21,42.9,1,0.5,0.1,+0.5,6,13,0,0,10,Matches
52,Arthur Chaves,br BRA,DF,Hoffenheim,24-222,2001,1.5,66,76,86.8,1215,379,24,26,92.3,34,38,89.5,6,10,60.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
53,Chema,es ESP,MF,Stuttgart,20-136,2005,0.3,10,11,90.9,133,79,7,7,100.0,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
54,Fabio Chiarodia,it ITA,"DF,MF",Gladbach,20-095,2005,0.9,73,76,96.1,1312,395,24,24,100.0,47,48,97.9,2,3,66.7,0,0.0,0.0,0.0,0,6,0,0,7,Matches
55,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-323,2003,0.2,7,7,100.0,85,20,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
56,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-241,2004,2.0,63,81,77.8,1160,407,24,27,88.9,34,38,89.5,4,9,44.4,0,0.0,0.0,0.0,0,4,0,0,2,Matches
57,Sirlord Conteh,de GER,FW,Heidenheim,29-061,1996,0.4,2,3,66.7,27,1,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
58,Danny da Costa,de GER,DF,Mainz 05,32-057,1993,2.0,97,123,78.9,1891,768,28,29,96.6,52,59,88.1,14,28,50.0,0,0.2,0.4,-0.2,2,11,7,2,15,Matches
59,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-017,1992,2.0,65,78,83.3,1212,366,28,29,96.6,22,29,75.9,12,16,75.0,0,0.2,0.2,-0.2,2,3,1,1,5,Matches
60,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-108,2007,1.1,60,76,78.9,1291,438,11,13,84.6,41,45,91.1,8,14,57.1,0,0.0,0.0,0.0,1,3,0,0,4,Matches
