rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
146,Aljoscha Kemlein,de GER,MF,Union Berlin,21-037,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
147,Luca Kerber,de GER,MF,Heidenheim,23-182,2002,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
148,Rani Khedira,de GER,MF,Union Berlin,31-224,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Joshua Kimmich,de GER,MF,Bayern Munich,30-212,1995,2.0,0,1,0,0.0,0.50,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
150,Ansgar Knauff,de GER,"MF,FW",Eint Frankfurt,23-241,2002,0.6,1,4,2,50.0,6.92,3.46,0.25,0.50,14.9,0,0,0,0.5,0.5,0.12,+0.5,+0.5,Matches
151,Gregor Kobel,ch SUI,GK,Dortmund,27-276,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
152,Robin Koch,de GER,DF,Eint Frankfurt,29-053,1996,2.0,0,1,0,0.0,0.50,0.00,0.00,,12.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
153,Christian Kofane,cm CMR,"FW,MF",Leverkusen,19-044,2006,0.9,0,2,1,50.0,2.31,1.15,0.00,0.00,14.8,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
154,Derrick Köhn,gh GHA,DF,Union Berlin,26-216,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Dominik Kohr,de GER,DF,Mainz 05,31-220,1994,2.0,0,3,1,33.3,1.51,0.50,0.00,0.00,10.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
156,Mert Kömür,de GER,"FW,MF",Augsburg,20-053,2005,2.0,1,6,2,33.3,3.00,1.00,0.17,0.50,14.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
157,Ransford Königsdörffer,gh GHA,FW,Hamburger SV,23-360,2001,1.7,0,3,1,33.3,1.75,0.58,0.00,0.00,11.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
158,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,21-284,2003,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,21.0,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
159,Alex Král,cz CZE,MF,Union Berlin,27-112,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
160,Andrej Kramarić,hr CRO,MF,Hoffenheim,34-081,1991,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
161,Tom Krauß,de GER,"DF,MF",Köln,24-078,2001,1.1,0,2,0,0.0,1.82,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
162,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,28-059,1997,1.9,0,3,1,33.3,1.58,0.53,0.00,0.00,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
163,Lukas Kübler,de GER,DF,Freiburg,33-009,1992,1.9,0,1,0,0.0,0.52,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
164,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,18-066,2007,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
165,Konrad Laimer,at AUT,DF,Bayern Munich,28-104,1997,1.5,0,3,2,66.7,1.96,1.30,0.00,0.00,13.2,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
166,Hugo Larsson,se SWE,MF,Eint Frankfurt,21-073,2004,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
167,Tim Lemperle,de GER,FW,Hoffenheim,23-215,2002,1.8,1,4,3,75.0,2.20,1.65,0.25,0.33,19.0,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
168,Jamie Leweling,de GER,"FW,DF",Stuttgart,24-194,2001,2.0,0,6,2,33.3,3.00,1.00,0.00,0.00,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
169,Philipp Lienhart,at AUT,DF,Freiburg,29-059,1996,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
170,Castello Lukeba,fr FRA,DF,RB Leipzig,22-265,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,5.6,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
171,Kristoffer Lund,us USA,DF,Köln,23-117,2002,1.5,0,3,0,0.0,2.01,0.00,0.00,,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
172,Senne Lynen,be BEL,MF,Werder Bremen,26-201,1999,2.0,0,1,0,0.0,0.50,0.00,0.00,,7.2,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches
173,Koki Machida,jp JPN,DF,Hoffenheim,28-014,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
174,Shuto Machino,jp JPN,FW,Gladbach,25-343,1999,0.9,0,1,0,0.0,1.10,0.00,0.00,,4.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
175,Arne Maier,de GER,DF,Augsburg,26-243,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
176,Patrick Mainka,de GER,DF,Heidenheim,30-306,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
177,Lovro Majer,hr CRO,MF,Wolfsburg,27-234,1998,1.5,0,2,0,0.0,1.36,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
178,Jordy Makengo,fr FRA,DF,Freiburg,24-036,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
179,Said El Mala,de GER,"DF,FW",Köln,19-013,2006,0.5,1,2,1,50.0,3.91,1.96,0.50,1.00,18.4,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
180,Julián Malatini,ar ARG,DF,Werder Bremen,24-100,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
181,Lennard Maloney,us USA,MF,Mainz 05,25-335,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
182,Filippo Mane,it ITA,DF,Dortmund,20-184,2005,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
183,Johan Manzambi,ch SUI,MF,Freiburg,19-329,2005,1.9,0,2,1,50.0,1.06,0.53,0.00,0.00,17.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
184,Eric Martel,de GER,MF,Köln,23-132,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
185,Han-Noah Massengo,fr FRA,MF,Augsburg,24-063,2001,2.0,0,2,0,0.0,1.01,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
186,Chrislain Matsima,fr FRA,DF,Augsburg,23-116,2002,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,6.3,0,0,0,0.2,0.2,0.18,+0.8,+0.8,Matches
187,Jean Mattéo Bahoya,fr FRA,FW,Eint Frankfurt,20-124,2005,1.4,2,5,3,60.0,3.52,2.11,0.40,0.67,12.2,0,0,0,1.1,1.1,0.22,+0.9,+0.9,Matches
188,Keke Maximilian Topp,de GER,FW,Werder Bremen,21-167,2004,0.4,0,1,1,100.0,2.73,2.73,0.00,0.00,13.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
189,Ibrahim Maza,dz ALG,"MF,FW",Leverkusen,19-288,2005,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
190,Samuel Mbangula,be BEL,FW,Werder Bremen,21-235,2004,1.5,0,2,0,0.0,1.34,0.00,0.00,,17.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
191,Jonas Meffert,de GER,MF,Hamburger SV,31-004,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
192,Connor Metcalfe,au AUS,MF,St. Pauli,25-307,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
193,William Mikelbrencis,fr FRA,"DF,MF",Hamburger SV,21-195,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
194,Kim Min-jae,kr KOR,DF,Bayern Munich,28-297,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
195,Maximilian Mittelstädt,de GER,DF,Stuttgart,28-174,1997,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,27.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
196,Max Moerstedt,de GER,FW,Hoffenheim,,,0.2,0,1,0,0.0,4.74,0.00,0.00,,11.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
197,Miro Muheim,ch SUI,MF,Hamburger SV,27-168,1998,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,27.0,2,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
198,Phillipp Mwene,at AUT,"DF,MF",Mainz 05,31-222,1994,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
199,Joakim Mæhle,dk DEN,DF,Wolfsburg,28-111,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
200,Nikolas Nartey,dk DEN,DF,Stuttgart,25-198,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
201,Paul Nebel,de GER,MF,Mainz 05,22-333,2002,0.7,0,2,0,0.0,3.05,0.00,0.00,,11.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
202,Kosta Nedeljković,rs SRB,DF,RB Leipzig,19-266,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
203,Luca Netz,de GER,DF,Gladbach,22-116,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
204,Manuel Neuer,de GER,GK,Bayern Munich,39-165,1986,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
205,Florian Neuhaus,de GER,MF,Gladbach,28-176,1997,0.4,0,3,1,33.3,8.44,2.81,0.00,0.00,17.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
206,Moritz Nicolas,de GER,GK,Gladbach,27-322,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
207,Julian Niehues,de GER,MF,Heidenheim,24-144,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
208,Justin Njinmah,de GER,FW,Werder Bremen,24-297,2000,1.7,1,5,2,40.0,2.92,1.17,0.20,0.50,17.9,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
209,Felix Nmecha,de GER,MF,Dortmund,24-333,2000,0.7,1,1,1,100.0,1.38,1.38,1.00,1.00,15.1,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
210,Arnaud Nordin,fr FRA,FW,Mainz 05,27-083,1998,0.9,0,2,0,0.0,2.22,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
211,Alexander Nübel,de GER,GK,Stuttgart,28-343,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
212,Antonio Nusa,no NOR,FW,RB Leipzig,20-144,2005,1.5,0,4,0,0.0,2.67,0.00,0.00,,17.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
213,Michael Olise,fr FRA,"FW,MF",Bayern Munich,23-270,2001,2.0,3,11,6,54.5,5.50,3.00,0.27,0.50,18.0,1,0,0,1.8,1.8,0.17,+1.2,+1.2,Matches
214,Warmed Omari,km COM,DF,Hamburger SV,25-138,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,Loïs Openda,be BEL,FW,RB Leipzig,25-204,2000,0.6,0,3,0,0.0,5.29,0.00,0.00,,18.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
216,Louis Oppie,de GER,DF,St. Pauli,23-114,2002,2.0,0,4,2,50.0,2.00,1.00,0.00,0.00,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
217,Willi Orban,hu HUN,DF,RB Leipzig,32-309,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
218,Assan Ouedraogo,de GER,MF,RB Leipzig,19-122,2006,0.1,0,1,0,0.0,10.00,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
219,Salih Özcan,tr TUR,DF,Dortmund,27-240,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
220,Cenk Özkacar,tr TUR,MF,Köln,24-337,2000,0.3,0,1,0,0.0,3.75,0.00,0.00,,6.2,0,0,0,0.3,0.3,0.30,-0.3,-0.3,Matches
221,Exequiel Palacios,ar ARG,MF,Leverkusen,26-338,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
222,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-128,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
223,Dženan Pejčinović,de GER,FW,Wolfsburg,20-205,2005,1.5,0,5,0,0.0,3.41,0.00,0.00,,9.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
224,Mathias Pereira Lage,pt POR,"FW,MF",St. Pauli,28-282,1996,1.9,0,5,2,40.0,2.63,1.05,0.00,0.00,13.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
225,Rayan Philippe,fr FRA,"FW,DF",Hamburger SV,24-320,2000,0.5,0,1,0,0.0,2.20,0.00,0.00,,20.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
226,Ernest Poku,nl NED,"MF,FW",Leverkusen,21-223,2004,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
227,Yussuf Poulsen,dk DEN,FW,Hamburger SV,31-085,1994,0.6,0,1,0,0.0,1.73,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
228,Alexander Prass,at AUT,"FW,DF",Hoffenheim,24-105,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
229,Grischa Prömel,de GER,"MF,DF",Hoffenheim,30-242,1995,0.4,1,4,1,25.0,10.29,2.57,0.25,1.00,23.1,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
230,Arkadiusz Pyrka,pl POL,DF,St. Pauli,22-353,2002,1.5,0,1,0,0.0,0.67,0.00,0.00,,16.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
231,Jarell Quansah,eng ENG,DF,Leverkusen,22-222,2003,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,9.7,0,0,0,0.1,0.1,0.13,+0.9,+0.9,Matches
232,Leopold Querfeld,at AUT,DF,Union Berlin,21-262,2003,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,19.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
233,Diant Ramaj,de GER,GK,Heidenheim,23-354,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
234,Grant Ranos,am ARM,DF,Gladbach,22-050,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
235,David Raum,de GER,DF,RB Leipzig,27-139,1998,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
236,Rocco Reitz,de GER,MF,Gladbach,23-102,2002,1.9,0,4,2,50.0,2.08,1.04,0.00,0.00,17.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
237,Nicolai Remberg,de GER,MF,Hamburger SV,25-081,2000,2.0,0,1,0,0.0,0.50,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
238,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,27-311,1997,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
239,Lars Ritzka,de GER,DF,St. Pauli,27-124,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
240,Merlin Röhl,de GER,"FW,MF",Freiburg,23-065,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
241,Rômulo,br BRA,FW,RB Leipzig,23-212,2002,1.4,1,4,2,50.0,2.79,1.40,0.25,0.50,8.4,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
242,Tom Rothe,de GER,DF,Union Berlin,20-314,2004,2.0,0,2,1,50.0,1.00,0.50,0.00,0.00,10.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
243,Julian Ryerson,no NOR,DF,Dortmund,27-295,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,Frederik Rønnow,dk DEN,GK,Union Berlin,33-035,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
245,Alexander Røssing-Lelesiit,no NOR,FW,Hamburger SV,18-231,2007,1.4,0,1,1,100.0,0.70,0.70,0.00,0.00,22.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
246,Elias Saad,tn TUN,"FW,MF",Augsburg,25-255,1999,1.5,0,1,0,0.0,0.68,0.00,0.00,,9.7,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
247,Marcel Sabitzer,at AUT,MF,Dortmund,31-175,1994,1.9,0,1,0,0.0,0.51,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
248,Emir Sahiti,xk KVX,FW,Hamburger SV,26-283,1998,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
249,Manolis Saliakas,gr GRE,DF,St. Pauli,28-361,1996,0.5,0,1,0,0.0,1.96,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
250,Philipp Sander,de GER,MF,Gladbach,27-199,1998,1.9,0,5,2,40.0,2.62,1.05,0.00,0.00,16.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
251,James Sands,us USA,MF,St. Pauli,25-064,2000,2.0,0,2,1,50.0,1.02,0.51,0.00,0.00,20.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
252,Kaishu Sano,jp JPN,MF,Mainz 05,24-252,2000,2.0,0,4,0,0.0,2.00,0.00,0.00,,22.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
253,Joe Scally,us USA,DF,Gladbach,22-251,2002,1.9,0,1,1,100.0,0.52,0.52,0.00,0.00,7.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
254,András Schäfer,hu HUN,MF,Union Berlin,26-148,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
255,Derry Scherhant,de GER,MF,Freiburg,22-302,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
256,Patrik Schick,cz CZE,FW,Leverkusen,29-227,1996,2.0,2,1,1,100.0,0.50,0.50,1.00,1.00,27.2,0,1,1,1.2,0.4,0.45,+0.8,+0.6,Matches
257,Xaver Schlager,at AUT,MF,RB Leipzig,27-345,1997,1.8,0,2,0,0.0,1.14,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
258,Keven Schlotterbeck,de GER,DF,Augsburg,28-133,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
259,Romano Schmid,at AUT,MF,Werder Bremen,25-224,2000,2.0,1,1,0,0.0,0.50,0.00,0.00,,33.1,0,1,1,0.8,0.0,0.05,+0.2,0.0,Matches
260,Isaac Schmidt,ch SUI,MF,Werder Bremen,25-275,1999,0.2,1,1,1,100.0,4.50,4.50,1.00,1.00,28.3,0,0,0,0.8,0.8,0.81,+0.2,+0.2,Matches
261,Joël Schmied,ch SUI,DF,Köln,26-350,1998,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
262,Jan Schöppner,de GER,MF,Heidenheim,26-088,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
263,Marvin Schwäbe,de GER,GK,Köln,30-136,1995,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Léo Scienza,br BRA,"MF,FW",Heidenheim,26-360,1998,2.0,1,4,1,25.0,2.00,0.50,0.25,1.00,23.4,1,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
265,Sebastian Sebulonsen,no NOR,DF,Köln,25-224,2000,1.8,0,4,0,0.0,2.21,0.00,0.00,,21.7,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
266,Nicolas Seiwald,at AUT,MF,RB Leipzig,24-127,2001,1.2,0,1,0,0.0,0.81,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
267,Armindo Sieb,de GER,"FW,MF",Mainz 05,22-203,2003,0.3,0,2,1,50.0,7.83,3.91,0.00,0.00,11.8,0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
268,Tim Siersleben,de GER,DF,Heidenheim,25-183,2000,0.9,0,1,0,0.0,1.17,0.00,0.00,,23.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
269,Xavi Simons,nl NED,MF,RB Leipzig,22-140,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
270,Danel Sinani,lu LUX,"MF,FW",St. Pauli,28-156,1997,2.0,1,4,1,25.0,2.00,0.50,0.00,0.00,22.8,0,1,1,0.9,0.2,0.04,+0.1,-0.2,Matches
271,Tim Skarke,de GER,DF,Union Berlin,29-001,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
272,Andreas Skov Olsen,dk DEN,FW,Wolfsburg,25-253,1999,1.5,1,1,1,100.0,0.68,0.68,1.00,1.00,22.1,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Matches
273,Robert Skov,dk DEN,DF,Union Berlin,29-111,1996,1.5,0,1,0,0.0,0.67,0.00,0.00,,28.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
274,Eric Smith,se SWE,DF,St. Pauli,28-243,1997,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,24.5,0,0,0,0.0,0.0,0.02,+1.0,+1.0,Matches
275,Vinicius Souza,br BRA,MF,Wolfsburg,26-083,1999,2.0,0,1,0,0.0,0.50,0.00,0.00,,29.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
276,Otto Stange,de GER,MF,Hamburger SV,18-211,2007,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
277,Josip Stanišić,hr CRO,DF,Bayern Munich,25-159,2000,2.0,0,1,0,0.0,0.50,0.00,0.00,,17.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
278,Niklas Stark,de GER,DF,Werder Bremen,30-147,1995,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
279,Angelo Stiller,de GER,MF,Stuttgart,24-157,2001,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
280,Kevin Stöger,at AUT,MF,Gladbach,32-012,1993,1.6,0,2,0,0.0,1.22,0.00,0.00,,17.2,0,0,0,0.7,0.7,0.34,-0.7,-0.7,Matches
281,Yukinari Sugawara,jp JPN,DF,Werder Bremen,25-072,2000,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,35.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
282,Yuito Suzuki,jp JPN,MF,Freiburg,23-318,2001,1.5,0,3,0,0.0,1.97,0.00,0.00,,11.4,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches
283,Mattias Svanberg,se SWE,MF,Wolfsburg,26-246,1999,0.5,1,3,2,66.7,5.74,3.83,0.33,0.50,19.0,1,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
284,Daniel Svensson,se SWE,DF,Dortmund,23-208,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
285,Haris Tabakovic,ba BIH,FW,Gladbach,31-080,1994,0.9,0,4,0,0.0,4.39,0.00,0.00,,8.0,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
286,Jonathan Tah,de GER,DF,Bayern Munich,29-209,1996,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
287,Axel Tapé,fr FRA,DF,Leverkusen,18-029,2007,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
288,Edmond Tapsoba,bf BFA,DF,Leverkusen,26-218,1999,2.0,0,2,0,0.0,1.00,0.00,0.00,,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
289,Nathan Tella,ng NGA,"FW,MF",Leverkusen,26-065,1999,1.9,0,3,0,0.0,1.60,0.00,0.00,,23.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
290,Arthur Theate,be BEL,DF,Eint Frankfurt,25-106,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
291,Jan Thielmann,de GER,"FW,MF",Köln,23-105,2002,1.5,1,6,2,33.3,4.06,1.35,0.17,0.50,13.2,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
292,Phillip Tietz,de GER,"MF,FW",Augsburg,28-061,1997,0.6,0,1,0,0.0,1.55,0.00,0.00,,29.6,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
293,Malik Tillman,us USA,MF,Leverkusen,23-103,2002,0.7,1,1,1,100.0,1.50,1.50,1.00,1.00,8.7,0,0,0,0.2,0.2,0.17,+0.8,+0.8,Matches
294,Umut Tohumcu,de GER,MF,Hoffenheim,21-028,2004,1.1,0,2,0,0.0,1.75,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
295,Tiago Tomás,pt POR,"MF,FW",Stuttgart,23-084,2002,1.1,1,9,3,33.3,8.18,2.73,0.11,0.33,16.3,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
296,Jordan Torunarigha,de GER,DF,Hamburger SV,28-032,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
