rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
35,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-263,1993,1.1,0,1,0,0.0,0.87,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
36,Ben Bobzien,de GER,FW,Mainz 05,22-132,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,Sacha Boey,fr FRA,DF,Bayern Munich,24-360,2000,0.5,0,1,0,0.0,2.14,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
38,Julian Brandt,de GER,"MF,FW",Dortmund,29-129,1996,1.5,1,2,2,100.0,1.33,1.33,0.50,0.50,18.1,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches
39,Nathaniel Brown,de GER,FW,Eint Frankfurt,22-084,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Marius Bülter,de GER,FW,Köln,32-163,1993,1.8,2,3,2,66.7,1.64,1.09,0.67,1.00,6.5,0,0,0,0.7,0.7,0.24,+1.3,+1.3,Matches
41,Wouter Burger,nl NED,MF,Hoffenheim,24-204,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
42,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-059,2000,0.7,0,4,0,0.0,5.45,0.00,0.00,,6.1,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches
43,Oliver Burke,sct SCO,FW,Union Berlin,28-154,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Marnon Busch,de GER,DF,Heidenheim,30-274,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Aurélio Buta,pt POR,"DF,FW",Eint Frankfurt,28-210,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Anthony Caci,fr FRA,"MF,DF",Mainz 05,28-069,1997,1.7,0,5,0,0.0,2.92,0.00,0.00,,14.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
47,Nicolás Capaldo,ar ARG,MF,Hamburger SV,27-359,1997,1.8,0,1,0,0.0,0.57,0.00,0.00,,30.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
48,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-246,2004,0.3,0,1,0,0.0,3.91,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
49,Václav Černý,cz CZE,FW,Wolfsburg,27-326,1997,0.5,0,1,0,0.0,1.91,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
50,Julian Chabot,de GER,DF,Stuttgart,27-208,1998,0.9,0,2,1,50.0,2.22,1.11,0.00,0.00,10.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
51,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,22-284,2002,2.0,0,2,0,0.0,1.00,0.00,0.00,,24.5,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
52,Arthur Chaves,br BRA,DF,Hoffenheim,24-222,2001,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,Chema,es ESP,MF,Stuttgart,20-136,2005,0.3,1,1,1,100.0,3.33,3.33,1.00,1.00,8.8,0,0,0,0.2,0.2,0.16,+0.8,+0.8,Matches
54,Fabio Chiarodia,it ITA,"DF,MF",Gladbach,20-095,2005,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-323,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
56,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-241,2004,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
57,Sirlord Conteh,de GER,FW,Heidenheim,29-061,1996,0.4,0,1,1,100.0,2.73,2.73,0.00,0.00,13.4,0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches
58,Danny da Costa,de GER,DF,Mainz 05,32-057,1993,2.0,0,1,0,0.0,0.50,0.00,0.00,,32.0,0,0,0,0.0,0.0,0.00,0.0,0.0,Matches
59,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-017,1992,2.0,0,1,1,100.0,0.51,0.51,0.00,0.00,23.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
60,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-108,2007,1.1,1,1,1,100.0,0.87,0.87,1.00,1.00,4.8,0,0,0,0.3,0.3,0.26,+0.7,+0.7,Matches
61,Yan Couto,br BRA,DF,Dortmund,23-097,2002,2.0,0,1,0,0.0,0.50,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
62,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-075,2007,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Finn Dahmen,de GER,GK,Augsburg,27-165,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,Muhammed Damar,de GER,MF,Hoffenheim,21-152,2004,0.4,0,2,1,50.0,5.63,2.81,0.00,0.00,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
65,Ermedin Demirović,ba BIH,FW,Stuttgart,27-167,1998,1.7,0,1,0,0.0,0.58,0.00,0.00,,7.9,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
66,Rav van den Berg,nl NED,DF,Köln,21-063,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
67,Luis Díaz,co COL,FW,Bayern Munich,28-238,1997,2.0,2,7,3,42.9,3.50,1.50,0.29,0.67,11.7,0,0,0,1.6,1.6,0.23,+0.4,+0.4,Matches
