rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
36,Ben Bobzien,de GER,FW,Mainz 05,22-132,2003,0.1,13,0,0,10,4,1,13,0,0,,0,,7,52,22,2,0,0,1,1,10,1,Matches
37,Sacha Boey,fr FRA,DF,Bayern Munich,24-360,2000,0.5,41,2,9,18,14,0,41,3,1,33.3,2,66.7,24,111,41,1,2,0,2,0,25,1,Matches
38,Julian Brandt,de GER,"MF,FW",Dortmund,29-129,1996,1.5,89,1,7,43,40,5,89,3,2,66.7,1,33.3,41,160,57,1,1,0,2,0,70,13,Matches
39,Nathaniel Brown,de GER,FW,Eint Frankfurt,22-084,2003,0.4,12,0,2,3,7,0,12,2,1,50.0,1,50.0,7,98,46,1,2,0,0,0,8,1,Matches
40,Marius Bülter,de GER,FW,Köln,32-163,1993,1.8,66,4,12,26,28,4,66,1,1,100.0,0,0.0,35,157,48,2,1,1,7,2,49,9,Matches
41,Wouter Burger,nl NED,MF,Hoffenheim,24-204,2001,0.5,32,1,1,25,6,1,32,0,0,,0,,15,63,21,0,0,0,0,0,27,1,Matches
42,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-059,2000,0.7,20,0,2,8,10,6,20,0,0,,0,,9,28,3,0,0,0,3,0,14,0,Matches
43,Oliver Burke,sct SCO,FW,Union Berlin,28-154,1997,0.4,14,0,2,6,7,1,14,3,0,0.0,3,100.0,6,15,0,0,0,0,1,0,8,2,Matches
44,Marnon Busch,de GER,DF,Heidenheim,30-274,1994,2.0,97,8,34,44,19,0,97,0,0,,0,,46,160,80,2,3,0,2,0,56,5,Matches
45,Aurélio Buta,pt POR,"DF,FW",Eint Frankfurt,28-210,1997,0.1,9,1,5,4,0,0,9,1,1,100.0,0,0.0,2,12,11,0,0,0,0,0,4,0,Matches
46,Anthony Caci,fr FRA,"MF,DF",Mainz 05,28-069,1997,1.7,141,1,10,61,71,9,141,1,0,0.0,1,100.0,67,275,134,6,4,1,3,1,94,23,Matches
