rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
42,Jonathan Burkardt,de GER,FW,Eint Frankfurt,25-059,2000,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
43,Oliver Burke,sct SCO,FW,Union Berlin,28-154,1997,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
44,Marnon Busch,de GER,DF,Heidenheim,30-274,1994,2.0,5,2,5,0,0,4,4,100.0,0,2,0,2,2,7,6,0,Matches
45,Aurélio Buta,pt POR,"DF,FW",Eint Frankfurt,28-210,1997,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
46,Anthony Caci,fr FRA,"MF,DF",Mainz 05,28-069,1997,1.7,3,2,0,1,2,0,0,,0,4,0,4,1,4,2,0,Matches
47,Nicolás Capaldo,ar ARG,MF,Hamburger SV,27-359,1997,1.8,1,1,1,0,0,1,2,50.0,1,2,0,2,1,2,1,0,Matches
48,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-246,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,Václav Černý,cz CZE,FW,Wolfsburg,27-326,1997,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
50,Julian Chabot,de GER,DF,Stuttgart,27-208,1998,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,7,0,Matches
51,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,22-284,2002,2.0,6,4,4,1,1,4,8,50.0,4,4,1,3,3,9,2,0,Matches
52,Arthur Chaves,br BRA,DF,Hoffenheim,24-222,2001,1.5,5,4,4,1,0,1,4,25.0,3,2,0,2,2,7,7,0,Matches
53,Chema,es ESP,MF,Stuttgart,20-136,2005,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches
54,Fabio Chiarodia,it ITA,"DF,MF",Gladbach,20-095,2005,0.9,2,1,2,0,0,0,0,,0,0,0,0,1,3,3,0,Matches
55,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-323,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
56,Nnamdi Collins,de GER,DF,Eint Frankfurt,21-241,2004,2.0,5,2,2,1,2,3,5,60.0,2,4,0,4,3,8,9,0,Matches
57,Sirlord Conteh,de GER,FW,Heidenheim,29-061,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
58,Danny da Costa,de GER,DF,Mainz 05,32-057,1993,2.0,1,1,0,0,1,1,1,100.0,0,2,1,1,3,4,7,0,Matches
59,Vladimír Coufal,cz CZE,DF,Hoffenheim,33-017,1992,2.0,3,2,3,0,0,2,2,100.0,0,1,0,1,3,6,6,0,Matches
60,Abdoul Coulibaly,de GER,DF,Werder Bremen,18-108,2007,1.1,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,7,2,Matches
61,Yan Couto,br BRA,DF,Dortmund,23-097,2002,2.0,3,3,2,0,1,2,2,100.0,0,2,0,2,1,4,2,0,Matches
62,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,18-075,2007,1.0,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0,Matches
63,Finn Dahmen,de GER,GK,Augsburg,27-165,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2,Matches
64,Muhammed Damar,de GER,MF,Hoffenheim,21-152,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
65,Ermedin Demirović,ba BIH,FW,Stuttgart,27-167,1998,1.7,1,0,0,0,1,0,0,,0,2,0,2,1,2,2,1,Matches
66,Rav van den Berg,nl NED,DF,Köln,21-063,2004,1.0,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,11,0,Matches
67,Luis Díaz,co COL,FW,Bayern Munich,28-238,1997,2.0,1,0,0,1,0,1,1,100.0,0,3,1,2,1,2,0,0,Matches
68,Kevin Diks,id IDN,DF,Gladbach,28-337,1996,1.2,1,0,1,0,0,1,1,100.0,0,2,1,1,2,3,4,0,Matches
