rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
179,Said El Mala,de GER,"DF,FW",Köln,19-013,2006,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,Matches
180,Julián Malatini,ar ARG,DF,Werder Bremen,24-100,2001,1.0,4,0,4,0,0,2,4,50.0,2,0,0,0,0,4,6,0,Matches
181,Lennard Maloney,us USA,MF,Mainz 05,25-335,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
182,Filippo Mane,it ITA,DF,Dortmund,20-184,2005,0.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,Matches
183,Johan Manzambi,ch SUI,MF,Freiburg,19-329,2005,1.9,2,0,1,1,0,0,1,0.0,1,2,1,1,2,4,1,1,Matches
184,Eric Martel,de GER,MF,Köln,23-132,2002,2.0,2,2,1,1,0,1,2,50.0,1,3,3,0,4,6,18,0,Matches
185,Han-Noah Massengo,fr FRA,MF,Augsburg,24-063,2001,2.0,4,3,3,1,0,2,4,50.0,2,2,1,1,3,7,3,0,Matches
186,Chrislain Matsima,fr FRA,DF,Augsburg,23-116,2002,2.0,2,1,2,0,0,2,3,66.7,1,6,4,2,3,5,7,0,Matches
187,Jean Mattéo Bahoya,fr FRA,FW,Eint Frankfurt,20-124,2005,1.4,3,1,2,0,1,2,3,66.7,1,4,0,4,0,3,2,0,Matches
188,Keke Maximilian Topp,de GER,FW,Werder Bremen,21-167,2004,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
189,Ibrahim Maza,dz ALG,"MF,FW",Leverkusen,19-288,2005,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
190,Samuel Mbangula,be BEL,FW,Werder Bremen,21-235,2004,1.5,4,3,3,1,0,4,7,57.1,3,4,1,3,0,4,0,0,Matches
191,Jonas Meffert,de GER,MF,Hamburger SV,31-004,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
192,Connor Metcalfe,au AUS,MF,St. Pauli,25-307,1999,0.3,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
193,William Mikelbrencis,fr FRA,"DF,MF",Hamburger SV,21-195,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
194,Kim Min-jae,kr KOR,DF,Bayern Munich,28-297,1996,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Matches
195,Maximilian Mittelstädt,de GER,DF,Stuttgart,28-174,1997,1.8,4,3,4,0,0,1,1,100.0,0,2,0,2,3,7,3,0,Matches
196,Max Moerstedt,de GER,FW,Hoffenheim,,,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
197,Miro Muheim,ch SUI,MF,Hamburger SV,27-168,1998,2.0,4,3,1,3,0,3,7,42.9,4,3,1,2,2,6,4,0,Matches
198,Phillipp Mwene,at AUT,"DF,MF",Mainz 05,31-222,1994,1.8,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,4,0,Matches
199,Joakim Mæhle,dk DEN,DF,Wolfsburg,28-111,1997,0.0,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
200,Nikolas Nartey,dk DEN,DF,Stuttgart,25-198,2000,0.2,3,3,1,1,1,2,2,100.0,0,1,0,1,0,3,1,0,Matches
201,Paul Nebel,de GER,MF,Mainz 05,22-333,2002,0.7,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
202,Kosta Nedeljković,rs SRB,DF,RB Leipzig,19-266,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
203,Luca Netz,de GER,DF,Gladbach,22-116,2003,0.2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
204,Manuel Neuer,de GER,GK,Bayern Munich,39-165,1986,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
205,Florian Neuhaus,de GER,MF,Gladbach,28-176,1997,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
206,Moritz Nicolas,de GER,GK,Gladbach,27-322,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
207,Julian Niehues,de GER,MF,Heidenheim,24-144,2001,0.4,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,1,0,Matches
208,Justin Njinmah,de GER,FW,Werder Bremen,24-297,2000,1.7,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,2,0,Matches
209,Felix Nmecha,de GER,MF,Dortmund,24-333,2000,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
210,Arnaud Nordin,fr FRA,FW,Mainz 05,27-083,1998,0.9,2,1,0,2,0,1,1,100.0,0,3,0,3,0,2,0,0,Matches
211,Alexander Nübel,de GER,GK,Stuttgart,28-343,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
212,Antonio Nusa,no NOR,FW,RB Leipzig,20-144,2005,1.5,4,2,2,1,1,3,3,100.0,0,0,0,0,3,7,1,0,Matches
213,Michael Olise,fr FRA,"FW,MF",Bayern Munich,23-270,2001,2.0,5,4,2,2,1,3,9,33.3,6,0,0,0,1,6,1,0,Matches
214,Warmed Omari,km COM,DF,Hamburger SV,25-138,2000,2.0,1,1,0,1,0,0,1,0.0,1,4,3,1,2,3,16,0,Matches
215,Loïs Openda,be BEL,FW,RB Leipzig,25-204,2000,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
216,Louis Oppie,de GER,DF,St. Pauli,23-114,2002,2.0,7,4,3,3,1,6,7,85.7,1,4,0,4,0,7,5,0,Matches
217,Willi Orban,hu HUN,DF,RB Leipzig,32-309,1992,2.0,2,2,1,1,0,2,2,100.0,0,3,2,1,1,3,11,0,Matches
218,Assan Ouedraogo,de GER,MF,RB Leipzig,19-122,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
219,Salih Özcan,tr TUR,DF,Dortmund,27-240,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
220,Cenk Özkacar,tr TUR,MF,Köln,24-337,2000,0.3,2,2,0,2,0,1,2,50.0,1,1,1,0,0,2,5,0,Matches
221,Exequiel Palacios,ar ARG,MF,Leverkusen,26-338,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
222,Aleksandar Pavlovic,de GER,MF,Bayern Munich,21-128,2004,0.5,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,Matches
223,Dženan Pejčinović,de GER,FW,Wolfsburg,20-205,2005,1.5,1,1,0,1,0,0,0,,0,3,0,3,0,1,2,0,Matches
224,Mathias Pereira Lage,pt POR,"FW,MF",St. Pauli,28-282,1996,1.9,6,1,1,2,3,1,1,100.0,0,2,0,2,1,7,0,0,Matches
225,Rayan Philippe,fr FRA,"FW,DF",Hamburger SV,24-320,2000,0.5,2,0,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches
226,Ernest Poku,nl NED,"MF,FW",Leverkusen,21-223,2004,0.7,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
227,Yussuf Poulsen,dk DEN,FW,Hamburger SV,31-085,1994,0.6,1,0,0,0,1,0,0,,0,1,0,1,0,1,2,0,Matches
228,Alexander Prass,at AUT,"FW,DF",Hoffenheim,24-105,2001,0.2,2,1,0,2,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches
229,Grischa Prömel,de GER,"MF,DF",Hoffenheim,30-242,1995,0.4,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches
230,Arkadiusz Pyrka,pl POL,DF,St. Pauli,22-353,2002,1.5,3,2,1,1,1,2,2,100.0,0,1,0,1,1,4,4,0,Matches
231,Jarell Quansah,eng ENG,DF,Leverkusen,22-222,2003,2.0,2,2,1,1,0,1,1,100.0,0,0,0,0,3,5,15,0,Matches
232,Leopold Querfeld,at AUT,DF,Union Berlin,21-262,2003,2.0,1,0,1,0,0,1,2,50.0,1,4,4,0,3,4,13,0,Matches
233,Diant Ramaj,de GER,GK,Heidenheim,23-354,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
234,Grant Ranos,am ARM,DF,Gladbach,22-050,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
235,David Raum,de GER,DF,RB Leipzig,27-139,1998,2.0,1,1,0,1,0,0,2,0.0,2,2,1,1,4,5,8,0,Matches
236,Rocco Reitz,de GER,MF,Gladbach,23-102,2002,1.9,5,3,0,3,2,2,2,100.0,0,2,0,2,6,11,2,0,Matches
237,Nicolai Remberg,de GER,MF,Hamburger SV,25-081,2000,2.0,5,4,2,2,1,4,4,100.0,0,1,1,0,3,8,6,0,Matches
238,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,27-311,1997,0.8,3,2,1,1,1,3,5,60.0,2,0,0,0,0,3,0,0,Matches
239,Lars Ritzka,de GER,DF,St. Pauli,27-124,1998,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
240,Merlin Röhl,de GER,"FW,MF",Freiburg,23-065,2002,0.7,1,1,1,0,0,1,1,100.0,0,1,1,0,0,1,0,0,Matches
241,Rômulo,br BRA,FW,RB Leipzig,23-212,2002,1.4,1,1,0,0,1,0,2,0.0,2,1,0,1,1,2,1,0,Matches
242,Tom Rothe,de GER,DF,Union Berlin,20-314,2004,2.0,3,1,2,1,0,1,3,33.3,2,2,0,2,1,4,10,1,Matches
243,Julian Ryerson,no NOR,DF,Dortmund,27-295,1997,0.2,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0,Matches
244,Frederik Rønnow,dk DEN,GK,Union Berlin,33-035,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
245,Alexander Røssing-Lelesiit,no NOR,FW,Hamburger SV,18-231,2007,1.4,5,2,5,0,0,2,2,100.0,0,1,0,1,0,5,2,0,Matches
246,Elias Saad,tn TUN,"FW,MF",Augsburg,25-255,1999,1.5,2,0,1,1,0,0,3,0.0,3,4,1,3,1,3,2,0,Matches
247,Marcel Sabitzer,at AUT,MF,Dortmund,31-175,1994,1.9,2,1,1,1,0,0,1,0.0,1,2,0,2,2,4,7,0,Matches
248,Emir Sahiti,xk KVX,FW,Hamburger SV,26-283,1998,1.3,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,1,0,Matches
249,Manolis Saliakas,gr GRE,DF,St. Pauli,28-361,1996,0.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
250,Philipp Sander,de GER,MF,Gladbach,27-199,1998,1.9,6,4,1,4,1,4,6,66.7,2,4,2,2,4,10,2,0,Matches
251,James Sands,us USA,MF,St. Pauli,25-064,2000,2.0,9,6,2,5,2,3,6,50.0,3,0,0,0,1,10,0,0,Matches
252,Kaishu Sano,jp JPN,MF,Mainz 05,24-252,2000,2.0,0,0,0,0,0,0,2,0.0,2,2,1,1,4,4,6,0,Matches
253,Joe Scally,us USA,DF,Gladbach,22-251,2002,1.9,3,1,2,1,0,2,4,50.0,2,4,0,4,0,3,7,0,Matches
254,András Schäfer,hu HUN,MF,Union Berlin,26-148,1999,1.0,2,2,1,1,0,0,0,,0,2,0,2,0,2,3,0,Matches
255,Derry Scherhant,de GER,MF,Freiburg,22-302,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
256,Patrik Schick,cz CZE,FW,Leverkusen,29-227,1996,2.0,2,1,0,1,1,1,1,100.0,0,1,0,1,1,3,3,0,Matches
257,Xaver Schlager,at AUT,MF,RB Leipzig,27-345,1997,1.8,3,2,1,2,0,0,1,0.0,1,1,0,1,1,4,3,0,Matches
258,Keven Schlotterbeck,de GER,DF,Augsburg,28-133,1997,2.0,2,1,2,0,0,1,1,100.0,0,1,1,0,2,4,12,1,Matches
259,Romano Schmid,at AUT,MF,Werder Bremen,25-224,2000,2.0,4,1,1,2,1,1,2,50.0,1,2,0,2,0,4,0,0,Matches
260,Isaac Schmidt,ch SUI,MF,Werder Bremen,25-275,1999,0.2,2,2,1,0,1,0,0,,0,0,0,0,0,2,0,0,Matches
261,Joël Schmied,ch SUI,DF,Köln,26-350,1998,1.5,1,1,1,0,0,1,1,100.0,0,7,2,5,1,2,6,0,Matches
262,Jan Schöppner,de GER,MF,Heidenheim,26-088,1999,1.0,2,1,2,0,0,1,1,100.0,0,1,0,1,2,4,0,1,Matches
263,Marvin Schwäbe,de GER,GK,Köln,30-136,1995,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
264,Léo Scienza,br BRA,"MF,FW",Heidenheim,26-360,1998,2.0,2,2,1,1,0,0,2,0.0,2,3,0,3,0,2,0,0,Matches
265,Sebastian Sebulonsen,no NOR,DF,Köln,25-224,2000,1.8,2,2,1,1,0,0,0,,0,1,1,0,0,2,13,0,Matches
266,Nicolas Seiwald,at AUT,MF,RB Leipzig,24-127,2001,1.2,3,2,2,0,1,2,2,100.0,0,1,0,1,1,4,1,0,Matches
267,Armindo Sieb,de GER,"FW,MF",Mainz 05,22-203,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
268,Tim Siersleben,de GER,DF,Heidenheim,25-183,2000,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,3,0,Matches
269,Xavi Simons,nl NED,MF,RB Leipzig,22-140,2003,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
270,Danel Sinani,lu LUX,"MF,FW",St. Pauli,28-156,1997,2.0,4,2,1,2,1,4,4,100.0,0,1,0,1,2,6,0,0,Matches
271,Tim Skarke,de GER,DF,Union Berlin,29-001,1996,0.3,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
272,Andreas Skov Olsen,dk DEN,FW,Wolfsburg,25-253,1999,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
273,Robert Skov,dk DEN,DF,Union Berlin,29-111,1996,1.5,4,4,4,0,0,3,5,60.0,2,1,0,1,2,6,5,0,Matches
274,Eric Smith,se SWE,DF,St. Pauli,28-243,1997,2.0,4,1,0,4,0,2,4,50.0,2,2,1,1,3,7,12,0,Matches
275,Vinicius Souza,br BRA,MF,Wolfsburg,26-083,1999,2.0,5,2,2,2,1,1,3,33.3,2,2,1,1,4,9,8,0,Matches
276,Otto Stange,de GER,MF,Hamburger SV,18-211,2007,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
277,Josip Stanišić,hr CRO,DF,Bayern Munich,25-159,2000,2.0,2,1,1,1,0,1,2,50.0,1,3,1,2,1,3,9,0,Matches
278,Niklas Stark,de GER,DF,Werder Bremen,30-147,1995,1.5,2,1,1,1,0,2,2,100.0,0,5,3,2,4,6,11,0,Matches
279,Angelo Stiller,de GER,MF,Stuttgart,24-157,2001,2.0,3,2,1,2,0,2,3,66.7,1,2,0,2,1,4,2,0,Matches
280,Kevin Stöger,at AUT,MF,Gladbach,32-012,1993,1.6,5,2,2,3,0,1,3,33.3,2,2,0,2,0,5,0,0,Matches
281,Yukinari Sugawara,jp JPN,DF,Werder Bremen,25-072,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
282,Yuito Suzuki,jp JPN,MF,Freiburg,23-318,2001,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
283,Mattias Svanberg,se SWE,MF,Wolfsburg,26-246,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
284,Daniel Svensson,se SWE,DF,Dortmund,23-208,2002,2.0,0,0,0,0,0,0,0,,0,3,1,2,1,1,9,0,Matches
285,Haris Tabakovic,ba BIH,FW,Gladbach,31-080,1994,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
286,Jonathan Tah,de GER,DF,Bayern Munich,29-209,1996,1.7,1,0,1,0,0,1,1,100.0,0,4,2,2,2,3,9,0,Matches
287,Axel Tapé,fr FRA,DF,Leverkusen,18-029,2007,0.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
288,Edmond Tapsoba,bf BFA,DF,Leverkusen,26-218,1999,2.0,2,0,2,0,0,1,1,100.0,0,4,1,3,3,5,9,0,Matches
289,Nathan Tella,ng NGA,"FW,MF",Leverkusen,26-065,1999,1.9,0,0,0,0,0,0,2,0.0,2,3,0,3,0,0,1,0,Matches
290,Arthur Theate,be BEL,DF,Eint Frankfurt,25-106,2000,2.0,3,1,1,1,1,3,3,100.0,0,1,0,1,3,6,11,0,Matches
291,Jan Thielmann,de GER,"FW,MF",Köln,23-105,2002,1.5,1,1,1,0,0,1,2,50.0,1,2,0,2,0,1,0,0,Matches
292,Phillip Tietz,de GER,"MF,FW",Augsburg,28-061,1997,0.6,1,0,0,0,1,0,0,,0,1,0,1,0,1,1,0,Matches
293,Malik Tillman,us USA,MF,Leverkusen,23-103,2002,0.7,2,2,0,1,1,0,1,0.0,1,2,0,2,1,3,0,0,Matches
294,Umut Tohumcu,de GER,MF,Hoffenheim,21-028,2004,1.1,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,2,0,Matches
295,Tiago Tomás,pt POR,"MF,FW",Stuttgart,23-084,2002,1.1,2,1,1,0,1,1,2,50.0,1,2,1,1,0,2,1,0,Matches
296,Jordan Torunarigha,de GER,DF,Hamburger SV,28-032,1997,2.0,4,1,0,3,1,1,2,50.0,1,2,2,0,1,5,25,0,Matches
297,Bazoumana Touré,ci CIV,FW,Hoffenheim,19-190,2006,2.0,1,0,0,1,0,0,1,0.0,1,3,0,3,1,2,0,0,Matches
298,Omar Traoré,de GER,DF,Heidenheim,27-216,1998,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
299,Philipp Treu,de GER,MF,Freiburg,24-279,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
300,Christopher Trimmel,at AUT,DF,Union Berlin,38-196,1987,1.6,4,3,0,4,0,0,0,,0,1,1,0,1,5,6,0,Matches
301,Lukas Ullrich,de GER,DF,Gladbach,21-176,2004,1.8,3,2,1,1,1,0,2,0.0,2,0,0,0,1,4,4,0,Matches
302,Deniz Undav,de GER,MF,Stuttgart,29-051,1996,1.1,2,0,0,2,0,2,3,66.7,1,2,0,2,0,2,0,0,Matches
303,Dayot Upamecano,fr FRA,DF,Bayern Munich,26-316,1998,2.0,3,2,2,1,0,3,5,60.0,2,1,1,0,3,6,6,1,Matches
304,Can Uzun,tr TUR,MF,Eint Frankfurt,19-301,2005,1.5,4,3,0,3,1,2,4,50.0,2,1,0,1,0,4,1,0,Matches
305,Josha Vagnoman,de GER,DF,Stuttgart,24-271,2000,1.8,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,9,0,Matches
306,Nikola Vasilj,ba BIH,GK,St. Pauli,29-280,1995,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
307,Nikolas Veratschnig,at AUT,MF,Mainz 05,22-227,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
308,Elye Wahi,fr FRA,FW,Eint Frankfurt,22-249,2003,1.2,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0,Matches
309,Hauke Wahl,de GER,DF,St. Pauli,31-146,1994,2.0,3,2,1,1,1,1,2,50.0,1,0,0,0,0,3,9,1,Matches
310,Luca Waldschmidt,de GER,DF,Köln,29-112,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
311,Nelson Weiper,de GER,FW,Mainz 05,20-175,2005,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
312,Silvan Widmer,ch SUI,DF,Mainz 05,32-187,1993,0.3,2,2,2,0,0,1,2,50.0,1,0,0,0,1,3,1,0,Matches
313,Patrick Wimmer,at AUT,FW,Wolfsburg,24-101,2001,2.0,3,1,1,2,0,2,4,50.0,2,2,0,2,3,6,3,0,Matches
314,Jonas Wind,dk DEN,MF,Wolfsburg,26-213,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
315,Marius Wolf,de GER,"MF,DF",Augsburg,30-104,1995,1.4,1,0,0,1,0,0,1,0.0,1,0,0,0,2,3,2,0,Matches
316,Nick Woltemade,de GER,FW,Stuttgart,23-206,2002,1.0,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,3,0,Matches
317,Jeong Woo-yeong,kr KOR,MF,Union Berlin,25-353,1999,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
318,Aaron Zehnter,de GER,DF,Wolfsburg,20-312,2004,2.0,2,1,2,0,0,1,2,50.0,1,2,2,0,4,6,3,0,Matches
319,Robin Zentner,de GER,GK,Mainz 05,30-315,1994,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
320,Cedric Zesiger,ch SUI,DF,Augsburg,27-076,1998,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
321,Michael Zetterer,de GER,GK,Eint Frankfurt,30-058,1995,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
322,Budu Zivzivadze,ge GEO,FW,Heidenheim,31-182,1994,1.2,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,Matches
