player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Michy Batshuayi,Eint Frankfurt,FW,8,0.1,0.0,0.0,0.0,0.0,0.0,10.0,0.0
Oliver Baumann,Hoffenheim,GK,180,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Christoph Baumgartner,RB Leipzig,"MF,FW",106,1.2,1.6666666666666667,2.5,5.833333333333334,0.6666666666666667,0.0,1.6666666666666667,0.8333333333333334
Adrian Beck,Heidenheim,"MF,DF",36,0.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Maximilian Beier,Dortmund,MF,76,0.8,1.25,1.25,0.0,0.0,0.0,0.0,0.0
Stefan Bell,Mainz 05,DF,71,0.8,2.5,2.5,1.25,0.125,1.25,1.25,1.25
Jobe Bellingham,Dortmund,MF,115,1.3,0.0,5.384615384615384,0.0,0.0,0.7692307692307692,0.7692307692307692,0.0
Ramy Bensebaini,Dortmund,DF,180,2.0,0.5,14.0,0.5,0.0,0.5,0.0,3.0
Bernardo,Hoffenheim,DF,175,1.9,0.5263157894736842,8.421052631578947,0.0,0.0,1.0526315789473684,3.1578947368421053,2.1052631578947367
Leonardo Bittencourt,Werder Bremen,MF,103,1.1,0.9090909090909091,3.6363636363636362,0.9090909090909091,0.0,0.0,1.8181818181818181,0.9090909090909091
Ben Bobzien,Mainz 05,FW,9,0.1,0.0,10.0,0.0,0.0,0.0,20.0,20.0
Sacha Boey,Bayern Munich,DF,42,0.5,2.0,4.0,2.0,0.2,2.0,0.0,2.0
Julian Brandt,Dortmund,"MF,FW",135,1.5,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.19999999999999998,0.0,1.3333333333333333,0.6666666666666666
Nathaniel Brown,Eint Frankfurt,FW,36,0.4,2.5,0.0,0.0,0.0,0.0,0.0,2.5
Marius Bülter,Köln,FW,165,1.8,2.7777777777777777,3.888888888888889,1.6666666666666665,0.38888888888888884,0.5555555555555556,1.1111111111111112,1.1111111111111112
Wouter Burger,Hoffenheim,MF,45,0.5,4.0,6.0,0.0,0.0,0.0,0.0,0.0
Jonathan Burkardt,Eint Frankfurt,FW,66,0.7,0.0,1.4285714285714286,5.714285714285714,1.4285714285714286,0.0,0.0,0.0
Oliver Burke,Union Berlin,FW,36,0.4,0.0,2.5,0.0,0.0,2.5,0.0,0.0
Marnon Busch,Heidenheim,DF,180,2.0,0.0,2.5,0.0,0.0,1.0,1.0,1.0
Aurélio Buta,Eint Frankfurt,"DF,FW",13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Caci,Mainz 05,"MF,DF",154,1.7,1.1764705882352942,7.647058823529412,2.9411764705882355,0.17647058823529413,0.5882352941176471,1.1764705882352942,3.5294117647058822
Nicolás Capaldo,Hamburger SV,MF,159,1.8,0.5555555555555556,3.333333333333333,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556
Abdoulie Ceesay,St. Pauli,FW,23,0.3,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0
Václav Černý,Wolfsburg,FW,47,0.5,0.0,0.0,2.0,0.0,0.0,0.0,4.0
Julian Chabot,Stuttgart,DF,81,0.9,0.0,7.777777777777778,2.2222222222222223,0.22222222222222224,1.1111111111111112,0.0,2.2222222222222223
Fares Chaïbi,Eint Frankfurt,MF,180,2.0,3.0,5.0,1.0,0.05,1.5,2.0,3.0
Arthur Chaves,Hoffenheim,DF,136,1.5,0.0,2.0,0.0,0.0,1.3333333333333333,2.6666666666666665,0.6666666666666666
Chema,Stuttgart,MF,27,0.3,0.0,6.666666666666667,3.3333333333333335,0.6666666666666667,3.3333333333333335,0.0,3.3333333333333335
Fabio Chiarodia,Gladbach,"DF,MF",83,0.9,0.0,7.777777777777778,0.0,0.0,1.1111111111111112,1.1111111111111112,0.0
Carney Chukwuemeka,Dortmund,MF,14,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Nnamdi Collins,Eint Frankfurt,DF,180,2.0,0.0,1.0,0.0,0.0,1.5,1.0,0.5
Sirlord Conteh,Heidenheim,FW,33,0.4,0.0,0.0,2.5,0.5,2.5,0.0,2.5
Danny da Costa,Mainz 05,DF,180,2.0,1.0,7.5,0.5,0.0,1.5,0.5,0.5
Vladimír Coufal,Hoffenheim,DF,177,2.0,1.0,2.5,0.5,0.0,1.5,1.0,2.0
Abdoul Coulibaly,Werder Bremen,DF,103,1.1,0.9090909090909091,3.6363636363636362,0.9090909090909091,0.2727272727272727,0.9090909090909091,0.0,0.9090909090909091
Yan Couto,Dortmund,DF,180,2.0,1.0,2.0,0.5,0.05,0.5,1.5,2.0
Patrice Čović,Werder Bremen,"MF,FW",90,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
Finn Dahmen,Augsburg,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhammed Damar,Hoffenheim,MF,32,0.4,0.0,10.0,5.0,0.25,0.0,0.0,0.0
